StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1,Q7_2,Q8_1,Q8_2,Q9_1,Q9_2,Q10_1,Q10_2,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28
24/01/2021 6:37,24/01/2021 6:41,0,100,222,1,24/01/2021 6:41,R_1dtvWaQJWfo9TGh,anonymous,EN,4,4,7,5,7,2,6,7,7,5,5,5,5,3,4,3,2,6,1,0,7,2,5,2,2,2,2,1,1,1,1,2,2,1,2,65,7,4,1
24/01/2021 6:36,24/01/2021 6:47,0,100,652,1,24/01/2021 6:47,R_1hGSGcAlLb3aPMI,anonymous,EN,4,4,6,6,6,3,4,6,4,6,4,6,3,7,6,6,4,6,2,3,6,6,6,1,1,1,1,2,2,2,2,2,2,2,2,65,6,4,1
24/01/2021 6:59,24/01/2021 7:17,0,100,1076,1,24/01/2021 7:17,R_2rqlkb96RIKiS6B,anonymous,EN,4,2,4,4,4,4,6,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,0,1,1,1,1,1,1,1,1,1,1,2,3,65,5,2,5
24/01/2021 6:57,24/01/2021 7:35,0,100,2316,1,24/01/2021 7:35,R_2qeEwFru1PCSJM9,anonymous,EN,4,2,4,4,4,2,4,1,6,1,6,5,6,1,4,2,4,2,6,2,5,2,2,2,2,2,1,1,1,1,1,1,2,1,4,65,7,1,4
24/01/2021 8:21,24/01/2021 8:26,0,100,298,1,24/01/2021 8:26,R_3kNyvHKxKpUaaOB,anonymous,EN,4,2,5,4,6,5,5,5,5,5,5,4,6,7,6,7,7,7,2,4,6,6,6,1,1,1,2,2,2,2,2,2,2,1,3,185,6,1,6
24/01/2021 8:32,24/01/2021 8:37,0,100,307,1,24/01/2021 8:37,R_3j1h33xwULWCQfs,anonymous,EN,4,5,6,5,6,5,6,4,6,4,7,6,7,7,7,7,6,6,3,4,6,7,5,2,2,2,2,2,1,2,2,2,2,1,2,65,7,4,1
24/01/2021 8:45,24/01/2021 8:53,0,100,512,1,24/01/2021 8:53,R_0AstWY87kquGCxb,anonymous,EN,4,2,6,4,6,3,5,6,6,4,7,2,6,4,4,4,5,5,3,4,3,5,5,1,1,1,2,2,2,2,2,2,2,2,2,31,6,1,6
24/01/2021 9:12,24/01/2021 9:27,0,100,942,1,24/01/2021 9:27,R_tR1DM52Jm8zqbRf,anonymous,EN,4,4,4,5,6,7,6,4,4,5,4,5,7,1,4,5,5,4,3,3,3,2,4,1,1,1,1,1,2,2,2,2,2,2,2,65,7,4,2
24/01/2021 9:21,24/01/2021 9:31,0,100,553,1,24/01/2021 9:31,R_1Fy7mlDrTxhI9rk,anonymous,EN,4,2,6,5,7,3,7,7,7,4,4,5,4,6,6,6,3,6,4,2,5,6,5,2,2,2,1,1,2,2,2,2,2,2,3,65,4,1,3
24/01/2021 9:24,24/01/2021 9:34,0,100,570,1,24/01/2021 9:34,R_C7zmwU0WvYVKN1f,anonymous,EN,4,4,4,6,7,2,2,7,4,5,6,7,5,7,6,7,7,7,6,6,7,0,5,1,1,1,1,1,2,2,2,2,2,2,3,65,7,2,3
24/01/2021 10:21,24/01/2021 10:30,0,100,539,1,24/01/2021 10:30,R_1g0EoV04d3okQZz,anonymous,EN,4,2,6,5,7,5,6,2,7,2,6,4,7,5,2,5,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,2,3,31,8,1,4
24/01/2021 10:39,24/01/2021 10:59,0,100,1210,1,24/01/2021 10:59,R_1LjnN5N4jOZnocl,anonymous,EN,4,2,5,6,6,6,7,4,6,5,7,2,7,4,4,6,4,5,4,2,4,7,6,2,2,1,1,1,1,2,2,1,1,2,3,187,7,1,5
24/01/2021 11:25,24/01/2021 11:37,0,100,743,1,24/01/2021 11:37,R_2OIOGK2ZFW66he0,anonymous,EN,4,4,6,6,7,7,5,5,6,3,6,6,6,2,6,5,6,6,2,2,6,6,6,1,1,1,1,1,1,1,1,2,2,2,4,48,7,1,5
24/01/2021 11:41,24/01/2021 11:48,0,100,420,1,24/01/2021 11:48,R_1LNCOpNyJNeM7Vw,anonymous,EN,4,4,7,7,6,5,6,7,6,6,6,3,6,5,6,6,5,6,3,3,5,5,5,1,1,1,1,1,1,1,2,2,2,2,2,122,8,1,6
24/01/2021 11:36,24/01/2021 11:52,0,100,950,1,24/01/2021 11:52,R_eE9oKpG8BHoJRzH,anonymous,EN,4,4,7,5,7,5,5,7,7,5,7,7,5,2,5,6,6,5,1,2,4,3,6,1,1,1,1,1,1,2,2,2,2,1,4,9,7,1,6
24/01/2021 11:57,24/01/2021 12:05,0,100,448,1,24/01/2021 12:05,R_rdqAcDlpq9IVSQF,anonymous,EN,4,2,5,5,6,2,5,6,5,2,6,3,6,2,3,2,2,3,2,3,5,5,4,1,1,1,2,2,2,2,2,2,2,1,3,65,7,1,6
24/01/2021 11:50,24/01/2021 12:05,0,100,914,1,24/01/2021 12:05,R_3RxYzW1uOwZfUoz,anonymous,EN,4,2,6,3,6,4,6,3,5,3,6,5,6,6,4,5,4,5,3,3,4,3,3,2,2,1,1,2,1,1,2,1,2,2,3,31,5,2,6
24/01/2021 12:11,24/01/2021 12:27,0,100,954,1,24/01/2021 12:27,R_2TSPLvIHQOimzeQ,anonymous,EN,4,4,5,3,7,5,5,7,7,5,7,5,7,5,3,6,4,5,2,3,7,6,4,1,1,1,1,2,2,2,2,2,2,2,3,65,7,1,3
24/01/2021 12:30,24/01/2021 12:40,0,100,593,1,24/01/2021 12:40,R_p5mcJMeZ6IxQL7j,anonymous,EN,4,2,5,5,7,6,6,7,4,6,3,6,7,4,7,5,6,6,6,4,6,6,6,1,1,1,1,2,1,2,2,2,2,1,3,65,7,2,6
24/01/2021 12:36,24/01/2021 12:52,0,100,947,1,24/01/2021 12:52,R_3G7faNuwcAfWLGP,anonymous,EN,4,2,6,6,7,7,6,4,6,6,6,6,5,6,6,6,5,6,2,2,6,3,5,1,1,1,2,1,1,2,2,2,2,1,3,9,7,1,6
24/01/2021 11:13,24/01/2021 14:08,0,100,10463,1,24/01/2021 14:08,R_25yVRVsQEg79Xsx,anonymous,EN,4,2,6,5,7,3,6,6,6,5,6,5,6,4,3,4,5,4,4,3,4,5,5,1,1,1,1,1,1,1,1,2,2,2,2,101,7,1,6
24/01/2021 15:38,24/01/2021 15:50,0,100,759,1,24/01/2021 15:50,R_32XwmCpCR57YeKD,anonymous,EN,4,2,7,2,6,6,7,2,7,1,6,6,6,6,6,6,0,7,6,6,7,7,7,1,1,1,1,1,1,1,1,2,2,1,4,9,7,1,6
24/01/2021 16:04,24/01/2021 16:18,0,100,844,1,24/01/2021 16:18,R_2TAyD0ZrMpf0iUw,anonymous,EN,4,2,7,5,6,5,6,5,6,3,6,7,6,3,2,2,4,4,2,6,6,5,5,1,1,1,1,1,1,1,2,2,2,1,4,9,7,1,6
24/01/2021 16:25,24/01/2021 16:36,0,100,662,1,24/01/2021 16:36,R_2WwBYmgCllb8PIu,anonymous,EN,4,2,5,4,3,5,2,6,6,4,6,2,6,2,2,2,2,4,5,4,2,4,4,1,1,1,2,2,2,2,2,2,2,1,5,9,5,1,6
24/01/2021 16:40,24/01/2021 16:46,0,100,402,1,24/01/2021 16:46,R_9AD79xZRxauFPax,anonymous,EN,4,4,7,7,7,3,6,4,5,6,6,7,5,7,7,7,5,7,6,7,7,7,5,1,1,2,2,2,2,2,2,2,2,1,3,9,6,1,6
24/01/2021 17:53,24/01/2021 18:03,0,100,606,1,24/01/2021 18:03,R_27JawqXWS6d6zPP,anonymous,EN,4,4,6,2,6,2,7,5,7,2,6,7,2,7,2,5,5,5,2,3,6,5,5,1,1,1,1,1,1,1,2,2,2,2,3,9,8,1,6
24/01/2021 18:05,24/01/2021 18:38,0,100,1985,1,24/01/2021 18:38,R_29nsif9Qz3ZMfqw,anonymous,EN,4,2,7,5,7,5,6,6,7,6,6,7,6,1,7,7,5,6,3,4,6,3,5,1,1,1,1,1,1,2,2,2,2,1,3,31,6,1,5
24/01/2021 20:45,24/01/2021 20:59,0,100,830,1,24/01/2021 20:59,R_r0Hhxp3ggxsDBTz,anonymous,EN,4,4,6,6,6,6,6,6,7,5,7,5,7,2,6,7,6,6,5,2,6,6,5,1,1,1,1,1,2,2,2,2,2,2,3,9,8,1,6
24/01/2021 8:15,25/01/2021 0:55,0,100,59999,1,25/01/2021 0:55,R_OOPP223izCt2Kch,anonymous,EN,4,4,6,5,7,4,7,2,7,4,7,5,3,7,6,7,5,5,4,5,5,3,6,1,1,1,2,2,2,2,2,2,2,1,2,65,7,4,5
25/01/2021 1:07,25/01/2021 1:14,0,100,441,1,25/01/2021 1:14,R_1P02m1coir9T5yF,anonymous,EN,4,4,6,7,6,7,7,7,6,7,6,7,6,6,7,7,6,7,6,7,7,7,6,1,1,2,2,2,2,2,2,2,2,2,3,9,7,1,6
25/01/2021 2:03,25/01/2021 2:40,0,100,2234,1,25/01/2021 2:40,R_31gFRHd0gLDLqwF,anonymous,EN,4,4,6,6,6,6,7,7,6,7,5,6,5,5,7,7,4,7,2,2,6,4,6,1,1,1,1,1,1,1,1,2,2,2,2,122,8,1,5
25/01/2021 2:36,25/01/2021 2:42,0,100,357,1,25/01/2021 2:42,R_3R1HnSJD6ovGzBC,anonymous,EN,4,2,6,6,2,2,6,7,7,6,7,7,4,5,6,6,6,7,5,3,3,4,3,1,1,1,1,1,1,1,2,2,2,1,3,9,6,1,5
25/01/2021 2:55,25/01/2021 2:59,0,100,259,1,25/01/2021 2:59,R_SDamuyr2mOowqKB,anonymous,EN,4,4,4,6,2,2,4,6,7,1,6,3,6,6,5,5,5,6,2,6,6,6,5,2,1,1,1,2,1,1,2,2,1,2,2,65,7,4,1
25/01/2021 2:59,25/01/2021 3:10,0,100,672,1,25/01/2021 3:10,R_ymYRrWLYtty4TsJ,anonymous,EN,4,4,6,5,6,6,6,7,5,7,6,6,7,5,1,5,4,4,5,3,2,1,3,1,1,1,1,1,1,1,1,2,2,1,2,65,4,4,1
25/01/2021 3:25,25/01/2021 3:32,0,100,404,1,25/01/2021 3:32,R_A0Qfyatsbsf1nwJ,anonymous,EN,4,4,6,6,6,6,3,7,6,5,7,4,6,6,5,6,6,6,6,3,5,5,5,2,2,2,2,2,2,2,2,2,2,1,3,9,7,1,6
25/01/2021 3:33,25/01/2021 3:39,0,100,372,1,25/01/2021 3:39,R_1gSd9k5WX2pEVN0,anonymous,EN,4,4,6,4,5,4,6,5,7,5,6,4,7,1,4,5,4,4,3,4,0,4,3,1,1,1,1,1,1,2,,,2,1,4,9,7,1,4
25/01/2021 2:04,25/01/2021 4:15,0,100,7879,1,25/01/2021 4:15,R_2VP8qxuPFpebWUr,anonymous,EN,4,2,5,5,7,6,7,6,7,6,5,7,5,5,7,6,6,7,6,4,6,7,6,1,1,1,1,1,1,1,1,1,2,1,4,9,7,1,5
25/01/2021 4:14,25/01/2021 4:22,0,100,458,1,25/01/2021 4:22,R_2sdzbzcYq1eiqQI,anonymous,EN,4,5,5,7,6,4,6,3,5,6,3,6,7,3,6,6,3,3,5,6,6,7,3,1,1,1,2,2,2,2,2,2,2,2,3,65,8,2,5
25/01/2021 4:21,25/01/2021 4:30,0,100,537,1,25/01/2021 4:30,R_1rjNuEMp7xRHXRr,anonymous,EN,4,4,6,2,7,1,7,6,7,1,6,5,7,1,1,3,0,5,5,4,5,0,5,1,1,1,1,1,2,2,2,2,2,1,3,82,7,1,5
25/01/2021 4:32,25/01/2021 4:39,0,100,412,1,25/01/2021 4:39,R_DoEn6UMNbbWJMzv,anonymous,EN,4,5,6,3,6,5,6,7,6,6,7,6,7,4,6,6,5,6,2,6,5,5,5,1,1,1,1,2,2,2,2,2,2,2,2,65,6,4,1
25/01/2021 4:29,25/01/2021 4:40,0,100,640,1,25/01/2021 4:40,R_2DZZpgQUjjS0M8O,anonymous,EN,4,5,6,5,7,4,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,5,1,1,1,1,2,2,2,2,2,2,1,3,65,8,1,4
25/01/2021 5:19,25/01/2021 5:45,0,100,1505,1,25/01/2021 5:45,R_rjykS9slmww9g65,anonymous,EN,4,4,6,6,3,6,3,5,5,6,7,5,2,7,2,5,4,6,0,3,2,0,5,1,1,1,1,1,1,1,2,2,2,1,6,65,7,5,3
25/01/2021 4:29,25/01/2021 12:54,0,100,30287,1,25/01/2021 12:54,R_2YfTNJ1bZqVMywl,anonymous,EN,4,2,6,3,6,2,6,3,6,3,6,2,6,5,4,3,3,4,2,2,2,6,6,1,1,1,1,1,2,2,1,1,2,1,6,9,7,5,3
25/01/2021 14:07,25/01/2021 14:26,0,100,1103,1,25/01/2021 14:26,R_1rvTaIBDoJ4lil6,anonymous,EN,4,4,7,7,6,2,7,6,4,6,4,7,7,4,7,7,6,5,5,5,6,4,5,1,1,1,1,1,1,1,2,2,2,1,3,9,6,1,6
25/01/2021 13:59,25/01/2021 14:41,0,100,2499,1,25/01/2021 14:57,R_BqPG5mY72mFpS6t,anonymous,EN,4,5,6,6,7,3,7,7,7,1,7,3,7,6,6,5,0,5,3,3,6,7,3,1,1,1,1,1,1,2,2,2,2,1,3,65,7,1,4
25/01/2021 16:37,25/01/2021 16:47,0,100,629,1,25/01/2021 16:47,R_331OAx7Y03NtEUT,anonymous,EN,4,5,6,6,5,6,6,6,6,6,5,6,4,4,7,6,6,6,3,6,7,7,5,2,2,2,2,2,2,2,2,2,2,1,3,9,8,1,6
25/01/2021 17:43,25/01/2021 18:05,0,100,1349,1,25/01/2021 18:05,R_2uweobnHrQfxxgz,anonymous,EN,4,5,5,6,5,2,6,2,6,2,6,5,6,6,6,5,4,5,5,6,6,6,4,2,2,2,2,2,2,2,2,2,2,2,2,9,8,1,6
25/01/2021 20:07,25/01/2021 20:18,0,100,617,1,25/01/2021 20:18,R_2wpBky4Kg5Udl28,anonymous,EN,4,4,5,5,7,6,6,7,6,6,6,6,7,6,4,6,0,0,2,2,0,0,0,1,1,1,1,2,1,1,2,2,2,2,3,187,7,3,6
25/01/2021 21:12,25/01/2021 21:21,0,100,540,1,25/01/2021 21:21,R_1jxPrjCq5qK4Ewv,anonymous,EN,4,4,6,6,6,6,7,5,6,5,6,7,6,7,4,5,6,6,4,6,4,3,0,1,1,1,2,2,2,2,2,2,2,1,3,9,6,1,5
26/01/2021 4:24,26/01/2021 4:38,0,100,854,1,26/01/2021 4:38,R_1jO0r09LXH01m9j,anonymous,EN,4,2,6,6,6,3,7,2,6,2,2,6,6,2,3,5,2,6,0,2,5,7,5,1,1,2,2,2,2,2,2,2,2,1,4,65,8,1,6
26/01/2021 8:15,26/01/2021 8:20,0,100,310,1,26/01/2021 8:20,R_26rK3M2tYufNHj3,anonymous,EN,4,2,5,4,6,2,5,5,6,5,6,6,7,1,6,5,4,5,3,2,2,6,5,2,2,2,2,2,2,2,2,2,2,1,3,65,7,1,6
26/01/2021 9:18,26/01/2021 9:30,0,100,734,1,26/01/2021 9:30,R_3p9ZrC8Ye1V4rFS,anonymous,EN,4,2,7,7,7,7,7,7,7,7,7,7,7,3,6,7,0,6,7,6,6,0,6,1,1,1,2,2,2,2,2,2,2,1,3,184,6,1,6
26/01/2021 12:37,26/01/2021 12:46,0,100,559,1,26/01/2021 12:46,R_2R3oWmpe5DNGqmh,anonymous,EN,4,4,7,5,6,6,5,6,5,6,6,6,7,2,5,6,5,6,4,3,6,3,4,1,1,1,1,1,1,2,2,2,2,2,3,65,6,1,6
26/01/2021 15:55,26/01/2021 16:08,0,100,735,1,26/01/2021 16:08,R_3Jh0qsRwAWDsdd9,anonymous,EN,4,5,6,6,6,6,6,4,6,4,6,6,6,6,6,4,4,6,6,6,6,6,4,1,1,1,1,1,1,2,2,2,2,1,5,9,8,1,6
26/01/2021 22:22,26/01/2021 22:34,0,100,730,1,26/01/2021 22:34,R_1gFV0AURiqjSKfW,anonymous,EN,4,2,6,5,6,6,5,6,4,6,6,6,6,2,6,7,6,7,5,5,6,5,5,1,1,1,1,2,2,2,2,2,2,1,5,9,6,1,6
26/01/2021 22:33,26/01/2021 22:39,0,100,348,1,26/01/2021 22:39,R_3M3yBqMFxYmkeuT,anonymous,EN,4,2,6,5,5,4,5,6,7,2,6,5,6,6,6,6,4,5,3,3,4,5,6,1,1,1,1,1,1,1,2,2,2,2,4,9,6,1,6
26/01/2021 23:56,27/01/2021 0:04,0,100,509,1,27/01/2021 0:04,R_1PSDXEOaYg9sOIn,anonymous,EN,4,4,7,7,6,5,5,6,7,5,6,7,4,6,5,6,7,5,2,6,6,7,6,1,1,1,1,2,2,2,2,2,2,2,2,65,6,2,3
27/01/2021 3:52,27/01/2021 4:04,0,100,721,1,27/01/2021 4:04,R_2y8ZLNQGlOt4RSY,anonymous,EN,4,4,5,6,6,2,6,6,6,2,6,5,6,2,6,5,4,5,4,3,4,5,4,1,1,2,2,2,2,2,2,2,2,1,3,9,8,1,6
27/01/2021 4:30,27/01/2021 4:40,0,100,564,1,27/01/2021 4:40,R_2dYIKMmXzm1nVIC,anonymous,EN,4,4,3,5,6,5,6,6,7,6,6,7,7,6,6,7,6,6,3,5,5,4,6,1,1,1,1,1,1,2,1,2,2,1,4,9,7,1,6
27/01/2021 12:07,27/01/2021 12:20,0,100,793,1,27/01/2021 12:20,R_1eVmMR3PEb6oHUq,anonymous,EN,4,4,7,7,5,7,7,7,6,7,6,7,5,3,6,7,4,6,3,3,5,4,5,2,2,2,1,1,1,2,2,2,2,2,3,123,7,1,6
28/01/2021 1:50,28/01/2021 2:02,0,100,773,1,28/01/2021 2:02,R_1Io5p2nBAAEZd9k,anonymous,EN,4,2,4,4,6,4,6,5,6,5,6,3,6,2,2,3,4,4,3,5,5,4,5,1,1,1,1,1,1,1,2,2,2,2,3,9,7,1,5
28/01/2021 12:58,28/01/2021 13:10,0,100,694,1,28/01/2021 13:10,R_1i3TTuDUJmmoGIq,anonymous,EN,4,5,6,4,2,7,2,7,2,7,4,7,7,2,6,7,6,6,3,4,7,6,5,1,1,2,2,2,2,2,2,2,2,1,2,122,6,2,6
29/01/2021 11:43,29/01/2021 11:55,0,100,706,1,29/01/2021 11:55,R_323KALGHMxZGHCJ,anonymous,EN,4,4,6,6,6,2,6,6,6,6,2,7,7,1,7,6,4,6,7,4,6,6,6,1,1,1,1,2,2,2,2,2,2,1,3,65,7,1,6
29/01/2021 12:31,29/01/2021 12:40,0,100,520,1,29/01/2021 12:40,R_pA8OBhvCImc5wBz,anonymous,EN,4,5,7,5,7,4,7,7,7,7,6,4,6,5,3,6,5,5,2,1,0,6,5,1,1,1,1,1,1,1,1,1,1,2,3,9,7,1,3
23/01/2021 11:21,23/01/2021 11:33,0,39,724,0,30/01/2021 11:33,R_2BzYLBfjoTtznlH,anonymous,EN,4,5,7,7,4,4,6,6,7,4,4,6,4,3,4,4,3,6,4,2,7,7,2,,,,,,,,,,,,,,,,
23/01/2021 11:38,23/01/2021 11:40,0,18,100,0,30/01/2021 11:40,R_2SoB3vhL6AG6xct,anonymous,EN,4,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2021 12:57,30/01/2021 13:09,0,100,728,1,30/01/2021 13:09,R_3e2zQ9sZzAMhQ99,anonymous,EN,4,2,5,4,6,5,7,4,6,2,6,6,7,2,5,5,0,5,4,5,4,3,5,1,1,1,1,1,1,1,2,2,2,2,3,65,7,1,6
23/01/2021 15:45,23/01/2021 15:46,0,7,33,0,30/01/2021 15:46,R_2PyVpaQ0jNETwdg,anonymous,EN,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/01/2021 21:14,23/01/2021 21:14,0,14,26,0,30/01/2021 21:14,R_21bMo0k2DyFRtQK,anonymous,EN,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2021 0:55,24/01/2021 0:56,0,4,37,0,31/01/2021 0:56,R_vctJu7zSVA0K50d,anonymous,EN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2021 2:22,24/01/2021 2:24,0,25,123,0,31/01/2021 2:24,R_dosEne4D9YSfMLD,anonymous,EN,4,2,6,7,5,4,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2021 2:20,24/01/2021 2:24,0,39,268,0,31/01/2021 2:24,R_1LdlbICulEIpvQ4,anonymous,EN,4,4,7,4,7,5,6,6,6,4,6,6,5,7,6,6,5,7,2,3,4,4,6,,,,,,,,,,,,,,,,
31/01/2021 2:18,31/01/2021 2:27,0,100,505,1,31/01/2021 2:27,R_OQ2GrxXmcCKWiEF,anonymous,EN,4,4,7,7,6,4,6,6,7,4,7,5,6,3,6,6,3,4,4,5,4,5,3,1,1,1,2,2,2,2,2,2,2,1,2,65,6,1,3
24/01/2021 6:25,24/01/2021 6:27,0,14,100,0,31/01/2021 6:27,R_2rw4FM0ylTCCcUx,anonymous,EN,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2021 13:57,24/01/2021 13:57,0,7,27,0,31/01/2021 13:57,R_p5evTwQTYo2HwYx,anonymous,EN,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2021 14:27,24/01/2021 14:31,0,29,252,0,31/01/2021 14:31,R_2P4HUT5anQSWk86,anonymous,EN,4,2,4,3,7,6,6,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2021 15:09,24/01/2021 15:09,0,7,21,0,31/01/2021 15:09,R_ZgGzdwQJpf9phLz,anonymous,EN,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2021 15:10,24/01/2021 15:11,0,4,63,0,31/01/2021 15:11,R_88MyQwqwgZCc7VD,anonymous,EN,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2021 4:54,24/01/2021 19:45,0,39,53431,0,31/01/2021 19:45,R_1H0qfzlcB8QNEhu,anonymous,EN,4,4,6,5,6,6,6,7,6,7,4,7,5,6,5,6,4,6,4,4,3,4,5,,,,,,,,,,,,,,,,
1/02/2021 0:36,1/02/2021 0:46,0,100,583,1,1/02/2021 0:46,R_10B1XrQAA16C0Ur,anonymous,EN,4,4,6,3,4,5,5,6,4,6,2,6,7,2,6,5,4,6,7,4,6,2,5,1,1,2,2,2,2,1,2,2,2,1,4,9,7,1,4
25/01/2021 1:06,25/01/2021 1:11,0,39,298,0,1/02/2021 1:11,R_2qERiYoVF6ImtQa,anonymous,EN,4,4,5,4,6,6,6,6,5,6,6,3,7,3,6,6,4,6,4,3,7,5,5,,,,,,,,,,,,,,,,
25/01/2021 1:20,25/01/2021 1:20,0,14,26,0,1/02/2021 1:20,R_25L7gBwVzvL5X5L,anonymous,EN,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/01/2021 7:19,25/01/2021 7:26,0,14,419,0,1/02/2021 7:26,R_1F2gki46N6EDxoz,anonymous,EN,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/01/2021 11:12,25/01/2021 11:15,0,14,161,0,1/02/2021 11:15,R_3OjnlcjbFcyC6zq,anonymous,EN,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/01/2021 16:34,25/01/2021 16:34,0,14,23,0,1/02/2021 16:34,R_1d6vKkpPpumw80P,anonymous,EN,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/01/2021 23:11,25/01/2021 23:15,0,14,243,0,1/02/2021 23:15,R_28Otx62JwXVqo1J,anonymous,EN,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/02/2021 1:45,2/02/2021 1:53,0,100,447,1,2/02/2021 1:53,R_pgzLBhv2IYEnfgd,anonymous,EN,4,4,5,2,7,2,3,6,6,1,6,5,5,7,5,5,3,7,4,2,5,7,5,1,1,1,1,2,2,2,2,2,2,1,2,65,6,4,1
2/02/2021 1:46,2/02/2021 1:53,0,100,410,1,2/02/2021 1:53,R_3NUt0foVURbcUfX,anonymous,EN,4,5,5,6,6,6,5,6,6,6,6,6,5,6,5,4,5,6,2,3,4,0,5,1,1,1,1,1,1,2,2,2,2,2,2,163,7,1,3
2/02/2021 1:48,2/02/2021 1:57,0,100,564,1,2/02/2021 1:57,R_a986r0Kq3xkhr2N,anonymous,EN,4,4,6,6,7,4,7,6,7,2,6,4,6,6,6,6,6,6,6,5,2,4,6,2,2,1,1,1,2,1,2,1,2,1,3,9,7,1,6
2/02/2021 1:59,2/02/2021 2:09,0,100,597,1,2/02/2021 2:09,R_T1JgTzhfsIXUhlD,anonymous,EN,4,2,7,5,7,5,6,5,6,5,6,5,4,5,6,5,5,5,3,3,5,4,5,1,1,1,1,1,1,1,2,2,2,2,3,9,6,1,6
2/02/2021 1:58,2/02/2021 2:11,0,100,749,1,2/02/2021 2:11,R_3WoQIkIkAQKAuIh,anonymous,EN,4,2,6,5,7,3,5,3,6,2,6,6,6,6,2,5,4,5,4,3,3,2,4,1,1,1,1,1,2,2,2,2,2,2,3,9,7,1,4
2/02/2021 2:09,2/02/2021 2:16,0,100,429,1,2/02/2021 2:16,R_32R5WhKXGFY3lLX,anonymous,EN,4,5,6,4,6,6,3,7,5,4,7,4,6,4,5,5,5,5,4,2,7,6,6,1,1,1,1,1,1,1,1,1,2,2,2,65,7,4,5
2/02/2021 2:23,2/02/2021 2:31,0,100,481,1,2/02/2021 2:31,R_32ONzXsjGDSWajf,anonymous,EN,4,4,6,6,6,4,6,2,6,2,4,6,6,6,6,6,6,5,4,4,5,5,5,1,1,1,1,1,1,1,1,1,2,1,2,65,7,4,2
2/02/2021 2:36,2/02/2021 2:50,0,100,855,1,2/02/2021 2:50,R_2CZYVClCgtBRI7n,anonymous,EN,4,2,6,5,4,4,6,5,6,5,7,3,4,4,3,6,3,5,5,4,4,3,5,1,1,1,1,1,1,2,2,2,2,1,2,9,6,1,6
2/02/2021 3:01,2/02/2021 3:12,0,100,652,1,2/02/2021 3:12,R_3sucUtfxgDVvNr4,anonymous,EN,4,4,7,6,7,7,7,7,7,7,6,6,5,5,6,7,0,6,4,3,4,0,5,1,1,1,2,2,2,2,2,2,2,2,3,65,6,2,6
2/02/2021 3:05,2/02/2021 3:17,0,100,679,1,2/02/2021 3:17,R_Om6vcu44gVBRXJn,anonymous,EN,4,4,7,5,7,7,5,5,5,3,5,7,3,5,6,6,6,7,2,4,7,5,6,1,1,1,1,1,2,2,2,2,2,2,3,9,7,1,1
2/02/2021 3:11,2/02/2021 3:19,0,100,465,1,2/02/2021 3:19,R_DqJGqn9nk6d0qit,anonymous,EN,4,4,6,6,3,3,7,5,7,6,6,6,6,3,5,7,5,6,5,1,4,4,5,1,1,1,1,1,1,1,2,2,2,2,3,9,6,1,5
2/02/2021 3:26,2/02/2021 3:32,0,100,398,1,2/02/2021 3:32,R_1hXqNj5Q8C6nbYU,anonymous,EN,4,5,6,6,6,5,5,5,3,5,5,6,5,5,2,6,1,5,7,7,7,7,6,1,1,1,1,1,1,2,2,2,2,1,3,9,6,1,6
2/02/2021 3:14,2/02/2021 3:35,0,100,1228,1,2/02/2021 3:35,R_1mqkWuR51dpwRSr,anonymous,EN,4,4,6,5,7,5,5,6,5,6,4,5,7,3,3,0,0,4,1,3,4,5,3,1,1,1,1,1,1,2,2,2,2,1,4,123,8,2,5
