StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1,Q7_2,Q8_1,Q8_2,Q9_1,Q9_2,Q10_1,Q10_2,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28
24/01/2021 11:50,24/01/2021 12:05,IP Address,100,914,TRUE,24/01/2021 12:05,R_3RxYzW1uOwZfUoz,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),acceptable,somewhat not acceptable,acceptable,neutral,acceptable,somewhat not acceptable,somewhat acceptable,somewhat not acceptable,acceptable,somewhat acceptable,acceptable,acceptable,neutral,somewhat agree,neutral,somewhat agree,somewhat agree,somewhat agree,neutral,somewhat disagree,somewhat disagree,(B) a 10% chance of getting 3.85€ and a 90% chance of getting 0.10€,(B) a 20% chance of getting 3.85€ and a 80% chance of getting 0.10€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(A) a 90% chance of getting 2€ and a 10% chance of getting 1.60€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Canada,Apprenticeship,Self-Employed,"more than 5,000 Euro"
24/01/2021 12:11,24/01/2021 12:27,IP Address,100,954,TRUE,24/01/2021 12:27,R_2TSPLvIHQOimzeQ,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",somewhat acceptable,somewhat not acceptable,totally acceptable,somewhat acceptable,somewhat acceptable,totally acceptable,totally acceptable,somewhat acceptable,totally acceptable,somewhat acceptable,totally acceptable,somewhat acceptable,somewhat disagree,agree,neutral,somewhat agree,agree,somewhat agree,strongly agree,agree,neutral,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Germany,Master / diploma,Employed,"1,701 - 2,600 Euro"
24/01/2021 12:30,24/01/2021 12:40,IP Address,100,593,TRUE,24/01/2021 12:40,R_p5mcJMeZ6IxQL7j,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),somewhat acceptable,somewhat acceptable,totally acceptable,acceptable,acceptable,totally acceptable,neutral,acceptable,somewhat not acceptable,acceptable,totally acceptable,neutral,strongly agree,somewhat agree,agree,agree,disagree,neutral,agree,agree,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,35-44,Germany,Master / diploma,Self-Employed,"more than 5,000 Euro"
24/01/2021 12:36,24/01/2021 12:52,IP Address,100,947,TRUE,24/01/2021 12:52,R_3G7faNuwcAfWLGP,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),acceptable,acceptable,totally acceptable,totally acceptable,acceptable,neutral,acceptable,acceptable,acceptable,acceptable,somewhat acceptable,acceptable,agree,agree,somewhat agree,agree,agree,agree,agree,somewhat disagree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,35-44,Australia,Master / diploma,Employed,"more than 5,000 Euro"
24/01/2021 11:13,24/01/2021 14:08,IP Address,100,10463,TRUE,24/01/2021 14:08,R_25yVRVsQEg79Xsx,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),acceptable,somewhat acceptable,totally acceptable,somewhat not acceptable,acceptable,acceptable,acceptable,somewhat acceptable,acceptable,somewhat acceptable,acceptable,neutral,somewhat disagree,neutral,somewhat agree,neutral,neutral,somewhat agree,neutral,somewhat agree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(A) an 80% chance of getting 2€ and a 20% chance of getting 1.60€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,21-34,Luxembourg,Master / diploma,Employed,"more than 5,000 Euro"
24/01/2021 15:38,24/01/2021 15:50,IP Address,100,759,TRUE,24/01/2021 15:50,R_32XwmCpCR57YeKD,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),totally acceptable,not acceptable,acceptable,acceptable,totally acceptable,not acceptable,totally acceptable,not at all acceptable,acceptable,acceptable,acceptable,acceptable,agree,agree,Don't know,strongly agree,disagree,disagree,strongly agree,strongly agree,strongly agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(A) an 80% chance of getting 2€ and a 20% chance of getting 1.60€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,45-54,Australia,Master / diploma,Employed,"more than 5,000 Euro"
24/01/2021 16:04,24/01/2021 16:18,IP Address,100,844,TRUE,24/01/2021 16:18,R_2TAyD0ZrMpf0iUw,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),totally acceptable,somewhat acceptable,acceptable,somewhat acceptable,acceptable,somewhat acceptable,acceptable,somewhat not acceptable,acceptable,totally acceptable,acceptable,somewhat not acceptable,disagree,disagree,neutral,neutral,agree,disagree,agree,somewhat agree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,45-54,Australia,Master / diploma,Employed,"more than 5,000 Euro"
24/01/2021 16:25,24/01/2021 16:36,IP Address,100,662,TRUE,24/01/2021 16:36,R_2WwBYmgCllb8PIu,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),somewhat acceptable,neutral,somewhat not acceptable,somewhat acceptable,not acceptable,acceptable,acceptable,neutral,acceptable,not acceptable,acceptable,not acceptable,disagree,disagree,disagree,neutral,somewhat disagree,neutral,disagree,neutral,neutral,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,55-64,Australia,Apprenticeship,Employed,"more than 5,000 Euro"
24/01/2021 16:40,24/01/2021 16:46,IP Address,100,402,TRUE,24/01/2021 16:46,R_9AD79xZRxauFPax,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",totally acceptable,totally acceptable,totally acceptable,somewhat not acceptable,acceptable,neutral,somewhat acceptable,acceptable,acceptable,totally acceptable,somewhat acceptable,totally acceptable,strongly agree,strongly agree,somewhat agree,strongly agree,disagree,strongly disagree,strongly agree,strongly agree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(B) a 30% chance of getting 3.85€ and a 70% chance of getting 0.10€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,35-44,Australia,Bachelor,Employed,"more than 5,000 Euro"
24/01/2021 17:53,24/01/2021 18:03,IP Address,100,606,TRUE,24/01/2021 18:03,R_27JawqXWS6d6zPP,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",acceptable,not acceptable,acceptable,not acceptable,totally acceptable,somewhat acceptable,totally acceptable,not acceptable,acceptable,totally acceptable,not acceptable,totally acceptable,disagree,somewhat agree,somewhat agree,somewhat agree,agree,somewhat agree,agree,somewhat agree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Australia,Doctorate / PhD,Employed,"more than 5,000 Euro"
24/01/2021 18:05,24/01/2021 18:38,IP Address,100,1985,TRUE,24/01/2021 18:38,R_29nsif9Qz3ZMfqw,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),totally acceptable,somewhat acceptable,totally acceptable,somewhat acceptable,acceptable,acceptable,totally acceptable,acceptable,acceptable,totally acceptable,acceptable,not at all acceptable,strongly agree,strongly agree,somewhat agree,agree,somewhat agree,neutral,agree,somewhat disagree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,35-44,Canada,Bachelor,Employed,"3,601 - 5,000 Euro"
24/01/2021 20:45,24/01/2021 20:59,IP Address,100,830,TRUE,24/01/2021 20:59,R_r0Hhxp3ggxsDBTz,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",acceptable,acceptable,acceptable,acceptable,acceptable,acceptable,totally acceptable,somewhat acceptable,totally acceptable,somewhat acceptable,totally acceptable,not acceptable,agree,strongly agree,agree,agree,somewhat disagree,agree,agree,agree,somewhat agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Australia,Doctorate / PhD,Employed,"more than 5,000 Euro"
24/01/2021 8:15,25/01/2021 0:55,IP Address,100,59999,TRUE,25/01/2021 0:55,R_OOPP223izCt2Kch,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",acceptable,somewhat acceptable,totally acceptable,neutral,totally acceptable,not acceptable,totally acceptable,neutral,totally acceptable,somewhat acceptable,somewhat not acceptable,totally acceptable,agree,strongly agree,somewhat agree,somewhat agree,neutral,somewhat disagree,somewhat agree,somewhat disagree,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,21-34,Germany,Master / diploma,Student,"3,601 - 5,000 Euro"
25/01/2021 1:07,25/01/2021 1:14,IP Address,100,441,TRUE,25/01/2021 1:14,R_1P02m1coir9T5yF,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",acceptable,totally acceptable,acceptable,totally acceptable,totally acceptable,totally acceptable,acceptable,totally acceptable,acceptable,totally acceptable,acceptable,acceptable,strongly agree,strongly agree,agree,strongly agree,disagree,strongly disagree,strongly agree,strongly agree,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(B) a 30% chance of getting 3.85€ and a 70% chance of getting 0.10€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Australia,Master / diploma,Employed,"more than 5,000 Euro"
25/01/2021 2:03,25/01/2021 2:40,IP Address,100,2234,TRUE,25/01/2021 2:40,R_31gFRHd0gLDLqwF,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",acceptable,acceptable,acceptable,acceptable,totally acceptable,totally acceptable,acceptable,totally acceptable,somewhat acceptable,acceptable,somewhat acceptable,somewhat acceptable,strongly agree,strongly agree,neutral,strongly agree,agree,agree,agree,neutral,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(A) an 80% chance of getting 2€ and a 20% chance of getting 1.60€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,21-34,Netherlands,Doctorate / PhD,Employed,"3,601 - 5,000 Euro"
25/01/2021 2:36,25/01/2021 2:42,IP Address,100,357,TRUE,25/01/2021 2:42,R_3R1HnSJD6ovGzBC,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),acceptable,acceptable,not acceptable,not acceptable,acceptable,totally acceptable,totally acceptable,acceptable,totally acceptable,totally acceptable,neutral,somewhat acceptable,agree,agree,agree,strongly agree,somewhat disagree,somewhat agree,somewhat disagree,neutral,somewhat disagree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,35-44,Australia,Bachelor,Employed,"3,601 - 5,000 Euro"
25/01/2021 2:55,25/01/2021 2:59,IP Address,100,259,TRUE,25/01/2021 2:59,R_SDamuyr2mOowqKB,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",neutral,acceptable,not acceptable,not acceptable,neutral,acceptable,totally acceptable,not at all acceptable,acceptable,somewhat not acceptable,acceptable,acceptable,somewhat agree,somewhat agree,somewhat agree,agree,agree,disagree,agree,agree,somewhat agree,(B) a 10% chance of getting 3.85€ and a 90% chance of getting 0.10€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(A) a 100% chance of getting 2€ and a 0% chance of getting 1.60€,Female,21-34,Germany,Master / diploma,Student,"under 1,300 Euro"
25/01/2021 2:59,25/01/2021 3:10,IP Address,100,672,TRUE,25/01/2021 3:10,R_ymYRrWLYtty4TsJ,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",acceptable,somewhat acceptable,acceptable,acceptable,acceptable,totally acceptable,somewhat acceptable,totally acceptable,acceptable,acceptable,totally acceptable,somewhat acceptable,strongly disagree,somewhat agree,neutral,neutral,somewhat disagree,somewhat agree,disagree,strongly disagree,somewhat disagree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(A) an 80% chance of getting 2€ and a 20% chance of getting 1.60€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,21-34,Germany,"Upper secondary school-leaving certificate (Abitur, Fach-/Hochschulreife)",Student,"under 1,300 Euro"
25/01/2021 3:25,25/01/2021 3:32,IP Address,100,404,TRUE,25/01/2021 3:32,R_A0Qfyatsbsf1nwJ,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",acceptable,acceptable,acceptable,acceptable,somewhat not acceptable,totally acceptable,acceptable,somewhat acceptable,totally acceptable,neutral,acceptable,acceptable,somewhat agree,agree,agree,agree,disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,(B) a 10% chance of getting 3.85€ and a 90% chance of getting 0.10€,(B) a 20% chance of getting 3.85€ and a 80% chance of getting 0.10€,(B) a 30% chance of getting 3.85€ and a 70% chance of getting 0.10€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,35-44,Australia,Master / diploma,Employed,"more than 5,000 Euro"
25/01/2021 3:33,25/01/2021 3:39,IP Address,100,372,FALSE,25/01/2021 3:39,R_1gSd9k5WX2pEVN0,anonymous,EN,I have read the above information and agree to participate in the survey,"Quite familiar (I know roughly what it is, the basics of how it works and could name one or two applications or uses)",acceptable,neutral,somewhat acceptable,neutral,acceptable,somewhat acceptable,totally acceptable,somewhat acceptable,acceptable,neutral,totally acceptable,not at all acceptable,neutral,somewhat agree,neutral,neutral,somewhat agree,neutral,Don't know,neutral,somewhat disagree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,,,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,45-54,Australia,Master / diploma,Employed,"2,601 - 3,600 Euro"
25/01/2021 2:04,25/01/2021 4:15,IP Address,100,7879,TRUE,25/01/2021 4:15,R_2VP8qxuPFpebWUr,anonymous,EN,I have read the above information and agree to participate in the survey,Unfamiliar (I have heard of it but only vaguely understand how it works or what it could be used for),somewhat acceptable,somewhat acceptable,totally acceptable,acceptable,totally acceptable,acceptable,totally acceptable,acceptable,somewhat acceptable,totally acceptable,somewhat acceptable,somewhat acceptable,strongly agree,agree,agree,strongly agree,disagree,neutral,agree,strongly agree,agree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(A) a 40% chance of getting 2€ and a 60% chance of getting 1.60€,(A) a 50% chance of getting 2€ and a 50% chance of getting 1.60€,(A) a 60% chance of getting 2€ and a 40% chance of getting 1.60€,(A) a 70% chance of getting 2€ and a 30% chance of getting 1.60€,(A) an 80% chance of getting 2€ and a 20% chance of getting 1.60€,(A) a 90% chance of getting 2€ and a 10% chance of getting 1.60€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Male,45-54,Australia,Master / diploma,Employed,"3,601 - 5,000 Euro"
25/01/2021 4:14,25/01/2021 4:22,IP Address,100,458,TRUE,25/01/2021 4:22,R_2sdzbzcYq1eiqQI,anonymous,EN,I have read the above information and agree to participate in the survey,"Very familiar (I know what it is, how it works and would be able to explain many areas in which Artificial Intelligence could be used)",somewhat acceptable,totally acceptable,acceptable,neutral,acceptable,somewhat not acceptable,somewhat acceptable,acceptable,somewhat not acceptable,acceptable,totally acceptable,somewhat not acceptable,agree,agree,somewhat disagree,somewhat disagree,somewhat disagree,disagree,agree,strongly agree,somewhat disagree,(A) a 10% chance of getting 2€ and a 90% chance of getting 1.60€,(A) a 20% chance of getting 2€ and a 80% chance of getting 1.60€,(A) a 30% chance of getting 2€ and a 70% chance of getting 1.60€,(B) a 40% chance of getting 3.85€ and a 60% chance of getting 0.10€,(B) a 50% chance of getting 3.85€ and a 50% chance of getting 0.10€,(B) a 60% chance of getting 3.85€ and a 40% chance of getting 0.10€,(B) a 70% chance of getting 3.85€ and a 30% chance of getting 0.10€,(B) an 80% chance of getting 3.85€ and a 20% chance of getting 0.10€,(B) a 90% chance of getting 3.85€ and a 10% chance of getting 0.10€,(B) a 100% chance of getting 3.85€ and a 0% chance of getting 0.10€,Female,35-44,Germany,Doctorate / PhD,Self-Employed,"3,601 - 5,000 Euro"
